state,county,fips,%_vax,pop_density,household_size,%_uninsured,%_poverty_rate,%_age_65_plus
Alabama,Autauga County,1001,43.6,93.99,2.59,7.1,15.4,15.97
Alabama,Baldwin County,1003,51.9,140.41,2.61,10.2,10.6,20.98
Alabama,Barbour County,1005,43.9,27.89,2.49,11.2,28.9,19.69
Alabama,Bibb County,1007,37.0,35.98,2.99,7.9,14.0,16.67
Alabama,Blount County,1009,31.5,89.68,2.77,11.0,14.4,18.7
Alabama,Bullock County,1011,54.2,16.22,2.75,10.8,31.4,16.94
Alabama,Butler County,1013,44.4,25.03,2.94,10.2,23.5,20.82
Alabama,Calhoun County,1015,47.5,187.51,2.49,9.4,18.6,18.09
Alabama,Chambers County,1017,32.1,55.74,2.46,10.8,16.6,20.19
Alabama,Cherokee County,1019,33.1,47.33,2.41,8.3,15.0,23.53
Alabama,Chilton County,1021,36.9,64.12,2.6,14.2,18.6,17.11
Alabama,Choctaw County,1023,66.8,13.78,2.41,11.4,22.2,23.58
Alabama,Clarke County,1025,51.8,19.07,2.57,10.8,25.4,20.5
Alabama,Clay County,1027,44.2,21.91,2.51,10.2,18.4,21.04
Alabama,Cleburne County,1029,32.6,26.62,2.58,12.8,18.5,20.17
Alabama,Coffee County,1031,40.2,77.09,2.56,10.1,15.1,17.25
Alabama,Colbert County,1033,50.9,93.2,2.48,8.1,16.3,20.03
Alabama,Conecuh County,1035,47.4,14.19,2.73,14.5,22.2,23.47
Alabama,Coosa County,1037,41.3,16.38,2.55,7.8,14.0,24.08
Alabama,Covington County,1039,38.9,35.95,2.44,11.2,18.3,21.38
Alabama,Crenshaw County,1041,38.4,22.62,2.73,10.0,15.7,19.39
Alabama,Cullman County,1043,40.1,114.01,2.64,11.8,15.8,18.78
Alabama,Dale County,1045,54.3,87.63,2.57,11.4,18.4,17.29
Alabama,Dallas County,1047,49.7,38.0,2.41,12.0,31.1,18.88
Alabama,DeKalb County,1049,34.9,92.03,2.69,14.5,22.1,17.62
Alabama,Elmore County,1051,47.8,131.31,2.63,8.2,12.3,15.59
Alabama,Escambia County,1053,38.6,38.76,2.57,15.5,24.0,18.27
Alabama,Etowah County,1055,42.0,191.12,2.62,10.4,17.3,19.36
Alabama,Fayette County,1057,36.2,25.97,2.34,8.8,20.0,21.75
Alabama,Franklin County,1059,48.5,49.47,2.79,12.8,20.2,17.14
Alabama,Geneva County,1061,40.0,45.73,2.5,13.7,24.0,20.63
Alabama,Greene County,1063,56.2,12.54,2.83,11.4,38.7,23.3
Alabama,Hale County,1065,63.1,22.75,2.6,8.8,26.0,19.69
Alabama,Henry County,1067,46.9,30.63,2.52,11.4,13.5,23.43
Alabama,Houston County,1069,45.2,182.6,2.63,10.4,18.3,18.12
Alabama,Jackson County,1071,49.3,47.89,2.49,9.6,20.2,20.52
Alabama,Jefferson County,1073,63.4,592.55,2.47,9.5,17.0,16.3
Alabama,Lamar County,1075,44.4,22.82,2.3,9.4,21.2,22.17
Alabama,Lauderdale County,1077,50.9,138.81,2.35,9.1,15.2,20.5
Alabama,Lawrence County,1079,49.1,47.67,2.57,8.2,16.8,19.1
Alabama,Lee County,1081,41.3,270.83,2.58,7.9,21.4,12.41
Alabama,Limestone County,1083,37.3,176.65,2.81,9.6,13.7,15.25
Alabama,Lowndes County,1085,56.5,13.59,2.43,9.2,27.9,19.75
Alabama,Macon County,1087,49.8,29.68,2.19,8.1,25.8,20.95
Alabama,Madison County,1089,64.3,465.21,2.4,8.9,13.2,15.32
Alabama,Marengo County,1091,57.5,19.31,2.48,9.6,21.8,19.88
Alabama,Marion County,1093,37.2,40.02,2.41,10.5,17.5,21.51
Alabama,Marshall County,1095,46.5,171.03,2.7,13.1,21.7,17.31
Alabama,Mobile County,1097,49.6,336.1,2.6,11.6,19.3,16.64
Alabama,Monroe County,1099,45.5,20.21,2.61,13.4,30.9,21.15
Alabama,Montgomery County,1101,58.4,288.39,2.45,10.5,20.7,15.58
Alabama,Morgan County,1103,46.3,206.49,2.57,10.2,15.3,17.83
Alabama,Perry County,1105,51.3,12.4,2.82,12.7,41.8,20.12
Alabama,Pickens County,1107,50.0,22.61,2.49,8.5,23.5,19.5
Alabama,Pike County,1109,41.5,49.27,2.73,9.6,26.6,15.19
Alabama,Randolph County,1111,35.7,39.14,2.56,10.5,17.7,20.87
Alabama,Russell County,1113,42.1,90.4,2.53,13.4,20.1,14.82
Alabama,Shelby County,1117,38.5,277.19,2.66,6.8,8.4,15.95
Alabama,St. Clair County,1115,40.6,141.73,2.65,8.8,13.2,16.85
Alabama,Sumter County,1119,54.3,13.75,2.4,15.5,31.3,18.71
Alabama,Talladega County,1121,38.4,108.55,2.46,9.3,19.9,18.47
Alabama,Tallapoosa County,1123,41.2,56.34,2.43,8.1,20.3,22.26
Alabama,Tuscaloosa County,1125,45.0,158.5,2.71,7.5,17.4,13.75
Alabama,Walker County,1127,49.8,80.3,2.54,11.0,19.7,19.54
Alabama,Washington County,1129,44.6,15.11,2.75,9.6,21.0,19.72
Alabama,Wilcox County,1131,59.0,11.68,2.77,11.6,31.1,20.29
Alabama,Winston County,1133,23.2,38.55,2.5,12.3,16.2,21.87
Alaska,Aleutians East Borough,2013,75.3,0.48,2.6,45.6,15.4,10.52
Alaska,Aleutians West CA,2016,66.6,1.28,3.72,18.8,8.5,7.44
Alaska,Anchorage Muny,2020,68.5,168.74,2.71,12.2,9.2,11.72
Alaska,Bethel CA,2050,77.7,0.45,3.77,20.7,27.8,7.88
Alaska,Bristol Bay Borough,2060,99.9,1.73,2.45,19.8,5.8,16.27
Alaska,Denali Borough,2068,56.8,0.17,2.29,19.2,16.9,11.35
Alaska,Dillingham CA,2070,56.7,0.27,3.25,22.4,17.2,10.05
Alaska,Fairbanks North Star Borough,2090,57.5,13.21,2.61,10.0,8.1,11.18
Alaska,Haines Borough,2100,71.6,1.08,2.41,15.5,9.0,21.66
Alaska,Hoonah-Angoon CA,2105,74.1,0.33,2.47,25.1,9.7,24.02
Alaska,Juneau Cty&Bor,2110,78.5,11.82,2.53,11.1,7.9,13.95
Alaska,Kenai Peninsula Borough,2122,50.2,3.66,2.6,17.2,12.0,18.35
Alaska,Ketchikan Gateway Borough,2130,67.6,2.86,2.54,13.2,10.5,16.48
Alaska,Kodiak Island Borough,2150,69.6,1.96,3.05,20.3,9.3,11.36
Alaska,Kusilvak Census Area,2158,83.4,0.49,4.69,21.1,40.5,6.09
Alaska,Lake and Peninsula Borough,2164,70.2,0.07,2.99,31.6,15.9,11.5
Alaska,Matanuska-Susitna Borough,2170,40.5,4.38,3.29,15.2,10.3,12.7
Alaska,Nome CA,2180,81.1,0.44,3.27,22.5,23.1,8.03
Alaska,North Slope Borough,2185,40.2,0.11,3.38,20.8,9.3,7.49
